"fips","SCC","Pollutant","Emissions","type","year"
"01053","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01055","10100201","PM25-PRI",234.017,"POINT",1999
"01055","10100202","PM25-PRI",226.091,"POINT",1999
"01055","2102002000","PM25-PRI",0.34,"NONPOINT",1999
"01055","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01055","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"01057","2102002000","PM25-PRI",0.164,"NONPOINT",1999
"01057","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"01057","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"01059","2102002000","PM25-PRI",0.142,"NONPOINT",1999
"01059","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"01059","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01061","2102002000","PM25-PRI",0.044,"NONPOINT",1999
"01061","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01061","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01063","10100201","PM25-PRI",3086.535,"POINT",1999
"01063","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"01063","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01063","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01065","2102002000","PM25-PRI",0.044,"NONPOINT",1999
"01065","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"01065","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01067","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01067","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01067","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01069","2102002000","PM25-PRI",0.449,"NONPOINT",1999
"01069","2103001000","PM25-PRI",0.083,"NONPOINT",1999
"01069","2103002000","PM25-PRI",0.04,"NONPOINT",1999
"01071","10100201","PM25-PRI",21.827,"POINT",1999
"01071","10100202","PM25-PRI",2102.696,"POINT",1999
"01071","2102002000","PM25-PRI",0.197,"NONPOINT",1999
"01071","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"01071","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01073","10100202","PM25-PRI",1915.417,"POINT",1999
"01073","10100226","PM25-PRI",6.532,"POINT",1999
"01073","10200204","PM25-PRI",0.756,"POINT",1999
"01073","10300206","PM25-PRI",0.024,"POINT",1999
